Notes,County,County Code,Deaths,Population,Crude Rate,Deaths_per_100k
,"Alameda County, CA",6001,11,4594866,Unreliable,0.2393976233
,"Santa Clara County, CA",6085,22,5428524,0.4,0.4052666986
,"Hidalgo County, TX",48215,10,2379131,Unreliable,0.4203215376
,"Pinellas County, FL",12103,13,2755259,Unreliable,0.4718249718
,"Fresno County, CA",6019,14,2821249,Unreliable,0.4962341147
,"Contra Costa County, CA",6013,16,3194718,Unreliable,0.500826677
,"DeKalb County, GA",13089,11,2098875,Unreliable,0.5240902865
,"Cook County, IL",17031,82,15643106,0.5,0.524192574
,"Cobb County, GA",13067,11,2093073,Unreliable,0.5255430651
,"Oakland County, MI",26125,23,3633164,0.6,0.6330570269
,"Brevard County, FL",12009,11,1634249,Unreliable,0.6730920441
,"Gwinnett County, GA",13135,17,2472308,Unreliable,0.6876165915
,"Pasco County, FL",12101,10,1401545,Unreliable,0.7134983179
,"Philadelphia County, PA",42101,34,4610084,0.7,0.7375136765
,"Montgomery County, TX",48339,11,1412527,Unreliable,0.7787461762
,"Honolulu County, HI",15003,24,2893186,0.8,0.8295353289
,"Pinal County, AZ",4021,10,1146127,Unreliable,0.872503658
,"Knox County, TN",47093,12,1310466,Unreliable,0.9157047951
,"Hennepin County, MN",27053,33,3505432,0.9,0.9413960961
,"Palm Beach County, FL",12099,38,4011866,0.9,0.9471901604
,"Sacramento County, CA",6067,41,4305014,1,0.9523778552
,"Wake County, NC",37183,27,2782924,1,0.9702025639
,"San Bernardino County, CA",6071,61,6181900,1,0.9867516459
,"Montgomery County, MD",24031,30,2966280,1,1.011367774
,"Orleans Parish, LA",22071,11,1073819,Unreliable,1.024381204
,"Broward County, FL",12011,55,5343375,1,1.029311999
,"Miami-Dade County, FL",12086,79,7642236,1,1.033728872
,"Bell County, TX",48027,10,948468,Unreliable,1.054331828
,"Fairfax County, VA",51059,35,3301020,1.1,1.060278338
,"Fort Bend County, TX",48157,20,1819621,1.1,1.099129984
,"Escambia County, FL",12033,10,899448,Unreliable,1.111793011
,"Sonoma County, CA",6097,17,1463823,Unreliable,1.161342594
,"York County, PA",42133,16,1309588,Unreliable,1.221758293
,"Rutherford County, TN",47149,10,805979,Unreliable,1.240727116
,"Chester County, PA",42029,19,1509358,Unreliable,1.25881335
,"Hillsborough County, FL",12057,48,3774747,1.3,1.271608402
,"Orange County, CA",6059,119,9156109,1.3,1.299678717
,"Ada County, ID",16001,16,1202268,Unreliable,1.330818087
,"Williamson County, TX",48491,18,1321693,Unreliable,1.361889637
,"Douglas County, NE",31055,22,1573236,1.4,1.398391595
,"Fulton County, GA",13121,40,2847953,1.4,1.404517561
,"Cumberland County, ME",23005,12,847996,Unreliable,1.415101015
,"Los Angeles County, CA",6037,422,29670450,1.4,1.422290528
,"Monterey County, CA",6053,18,1263717,Unreliable,1.424369538
,"Collier County, FL",12021,14,982081,Unreliable,1.425544329
,"Harris County, TX",48201,179,12527053,1.4,1.428907501
,"Johnson County, KS",20091,24,1657083,1.4,1.448328177
,"Davidson County, TN",47037,28,1910451,1.5,1.465622515
,"Howard County, MD",24027,13,879657,Unreliable,1.477848752
,"Arapahoe County, CO",8005,26,1752497,1.5,1.483597404
,"Ramsey County, MN",27123,23,1543488,1.5,1.490131443
,"Prince George's County, MD",24033,39,2615791,1.5,1.490944804
,"Kings County, NY",36047,114,7602980,1.5,1.499412073
,"Ottawa County, MI",26139,12,799200,Unreliable,1.501501502
,"Jackson County, MO",29095,31,2027895,1.5,1.528678753
,"Duval County, FL",12031,40,2614574,1.5,1.529885939
,"Sedgwick County, KS",20173,23,1503330,1.5,1.529936873
,"Denton County, TX",48121,32,2056324,1.6,1.556175
,"San Luis Obispo County, CA",6079,13,816410,Unreliable,1.592337184
,"San Francisco County, CA",6075,40,2443924,1.6,1.636712107
,"Fairfield County, CT",9001,46,2776563,1.7,1.656724519
,"Broome County, NY",36007,10,597691,Unreliable,1.673105334
,"Charleston County, SC",45019,18,1073075,Unreliable,1.677422361
,"Osceola County, FL",12097,14,832264,Unreliable,1.682158546
,"Thurston County, WA",53067,13,767187,Unreliable,1.694502123
,"Queens County, NY",36081,115,6751341,1.7,1.703365302
,"Dona Ana County, NM",35013,11,637276,Unreliable,1.726096699
,"Westmoreland County, PA",42129,19,1093035,Unreliable,1.738279195
,"Yakima County, WA",53077,13,737349,Unreliable,1.763072846
,"Rockland County, NY",36087,17,944602,Unreliable,1.799699768
,"Greenville County, SC",45045,25,1380129,1.8,1.811424874
,"Champaign County, IL",17019,11,606042,Unreliable,1.815055722
,"Guilford County, NC",37081,27,1484564,1.8,1.818715798
,"Forsyth County, GA",13117,10,545279,Unreliable,1.833923551
,"Prince William County, VA",51153,23,1251297,1.8,1.838092795
,"Benton County, WA",53005,10,538253,Unreliable,1.857862381
,"Hudson County, NJ",34017,36,1927792,1.9,1.867421382
,"Montgomery County, TN",47125,10,533418,Unreliable,1.874702391
,"Seminole County, FL",12117,24,1278627,1.9,1.87701339
,"Lake County, IN",18089,28,1485181,1.9,1.885292096
,"Yavapai County, AZ",4025,12,635558,Unreliable,1.888104626
,"Erie County, PA",42049,16,842197,Unreliable,1.899793041
,"Clay County, FL",12019,11,577580,Unreliable,1.904498078
,"Benton County, AR",5007,13,681163,Unreliable,1.908500609
,"Buncombe County, NC",37021,14,724227,Unreliable,1.933095563
,"Riverside County, CA",6065,130,6698044,1.9,1.940865124
,"Pitt County, NC",37147,10,511836,Unreliable,1.953750811
,"San Joaquin County, CA",6077,41,2084132,2,1.967245837
,"Frederick County, MD",24021,14,709712,Unreliable,1.972631152
,"Bergen County, NJ",34003,54,2735008,2,1.974400075
,"Mohave County, AZ",4015,12,605871,Unreliable,1.980619637
,"Orange County, FL",12095,70,3517297,2,1.990164607
,"Tarrant County, TX",48439,111,5539002,2,2.003971112
,"Lee County, FL",12071,38,1895377,2,2.004878185
,"Northampton County, PA",42095,18,895478,Unreliable,2.010099634
,"Volusia County, FL",12127,30,1486347,2,2.018371215
,"York County, ME",23031,12,594335,Unreliable,2.019063323
,"York County, SC",45091,14,691236,Unreliable,2.025357476
,"Manatee County, FL",12081,20,983870,2,2.032788885
,"Spokane County, WA",53063,29,1420717,2,2.041222847
,"Somerset County, NJ",34035,20,976044,2,2.049087951
,"Hamilton County, TN",47065,21,1022863,2.1,2.053060869
,"Aiken County, SC",45003,10,483593,Unreliable,2.06785458
,"Chesapeake city, VA",51550,14,675676,Unreliable,2.071999005
,"Pulaski County, AR",5119,24,1158000,2.1,2.07253886
,"Pueblo County, CO",8101,10,480460,Unreliable,2.081338717
,"Sarasota County, FL",12115,24,1147808,2.1,2.090942039
,"Kitsap County, WA",53035,16,760757,Unreliable,2.103168292
,"Jackson County, OR",41029,13,614440,Unreliable,2.115747673
,"Kane County, IL",17089,33,1558027,2.1,2.118063423
,"Cherokee County, GA",13057,14,653947,Unreliable,2.140846277
,"Santa Cruz County, CA",6087,17,793456,Unreliable,2.142525862
,"Lehigh County, PA",42077,23,1057689,2.2,2.174552255
,"Linn County, IA",19113,14,640396,Unreliable,2.186147321
,"Albany County, NY",36001,20,913224,2.2,2.190043188
,"Pierce County, WA",53053,53,2414810,2.2,2.194789652
,"Franklin County, PA",42055,10,451704,Unreliable,2.213839151
,"Boone County, MO",29019,11,496804,Unreliable,2.214152865
