Deaths_per_100k,County Code
True,01001
True,01003
True,01005
True,01007
True,01009
True,01011
True,01013
True,01015
True,01017
True,01019
True,01021
True,01023
True,01025
True,01027
True,01029
True,01031
True,01033
True,01035
True,01037
True,01039
True,01041
True,01043
True,01045
True,01047
True,01049
True,01051
True,01053
True,01055
True,01057
True,01059
True,01061
True,01063
True,01065
True,01067
True,01069
True,01071
False,01073
True,01075
True,01077
True,01079
True,01081
True,01083
True,01085
True,01087
True,01089
True,01091
True,01093
True,01095
True,01097
True,01099
True,01101
True,01103
True,01105
True,01107
True,01109
True,01111
True,01113
True,01115
True,01117
True,01119
True,01121
True,01123
True,01125
True,01127
True,01129
True,01131
True,01133
True,02013
True,02016
False,02020
True,02050
True,02060
True,02063
True,02066
True,02068
True,02070
True,02090
True,02100
True,02105
True,02110
True,02122
True,02130
True,02150
True,02164
False,02170
True,02180
True,02185
True,02188
True,02198
True,02220
True,02230
True,02240
True,02270
True,02275
True,02282
True,02290
True,04001
True,04003
True,04005
True,04007
True,04009
True,04011
True,04012
False,04013
False,04015
True,04017
False,04019
False,04021
True,04023
False,04025
True,04027
True,05001
True,05003
True,05005
False,05007
True,05009
True,05011
True,05013
True,05015
True,05017
True,05019
True,05021
True,05023
True,05025
True,05027
True,05029
True,05031
True,05033
True,05035
True,05037
True,05039
True,05041
True,05043
True,05045
True,05047
True,05049
True,05051
True,05053
True,05055
True,05057
True,05059
True,05061
True,05063
True,05065
True,05067
True,05069
True,05071
True,05073
True,05075
True,05077
True,05079
True,05081
True,05083
True,05085
True,05087
True,05089
True,05091
True,05093
True,05095
True,05097
True,05099
True,05101
True,05103
True,05105
True,05107
True,05109
True,05111
True,05113
True,05115
True,05117
False,05119
True,05121
True,05123
True,05125
True,05127
True,05129
True,05131
True,05133
True,05135
True,05137
True,05139
True,05141
True,05143
True,05145
True,05147
True,05149
False,06001
True,06003
True,06005
True,06007
True,06009
True,06011
False,06013
True,06015
True,06017
False,06019
True,06021
True,06023
True,06025
True,06027
False,06029
True,06031
True,06033
True,06035
False,06037
True,06039
True,06041
True,06043
True,06045
True,06047
True,06049
True,06051
False,06053
True,06055
True,06057
False,06059
True,06061
True,06063
False,06065
False,06067
True,06069
False,06071
False,06073
False,06075
False,06077
False,06079
True,06081
True,06083
False,06085
False,06087
False,06089
True,06091
True,06093
True,06095
False,06097
True,06099
True,06101
True,06103
True,06105
True,06107
True,06109
False,06111
True,06113
True,06115
False,08001
True,08003
False,08005
True,08007
True,08009
True,08011
False,08013
True,08014
True,08015
True,08017
True,08019
True,08021
True,08023
True,08025
True,08027
True,08029
False,08031
True,08033
False,08035
True,08037
True,08039
False,08041
True,08043
True,08045
True,08047
True,08049
True,08051
True,08053
True,08055
True,08057
False,08059
True,08061
True,08063
True,08065
True,08067
False,08069
True,08071
True,08073
True,08075
True,08077
True,08079
True,08081
True,08083
True,08085
True,08087
True,08089
True,08091
True,08093
True,08095
True,08097
True,08099
False,08101
