County Code,County,Deaths,Population,Deaths_per_100k
01003,"Baldwin County, AL",36.0,639213,5.631925508398609
01043,"Cullman County, AL",15.0,248668,6.032139237859314
01049,"DeKalb County, AL",16.0,213902,7.480060962496844
01053,"Escambia County, AL",14.0,111923,12.50859966226781
01055,"Etowah County, AL",27.0,307820,8.771359885647456
01069,"Houston County, AL",10.0,313124,3.193622973646223
01073,"Jefferson County, AL",107.0,1978018,5.409455323460151
01097,"Mobile County, AL",45.0,1242548,3.621590473768418
01103,"Morgan County, AL",11.0,356919,3.081931754823924
01115,"St. Clair County, AL",23.0,264908,8.68225950141181
01117,"Shelby County, AL",24.0,639934,3.750386758634484
01125,"Tuscaloosa County, AL",18.0,622824,2.890062039998459
02020,"Anchorage Borough, AK",57.0,884086,6.447336571329034
02090,"Fairbanks North Star Borough, AK",13.0,299279,4.343772867458124
02122,"Kenai Peninsula Borough, AK",18.0,175656,10.24730154392677
02170,"Matanuska-Susitna Borough, AK",32.0,318507,10.04687495094299
04003,"Cochise County, AZ",22.0,377296,5.830965607904669
04005,"Coconino County, AZ",15.0,424538,3.53325261814019
04013,"Maricopa County, AZ",760.0,12960854,5.863811134667515
04015,"Mohave County, AZ",24.0,621999,3.858527103741324
04019,"Pima County, AZ",224.0,3078048,7.277339404713636
04021,"Pinal County, AZ",51.0,1295915,3.935443296821165
04025,"Yavapai County, AZ",25.0,685723,3.645787001456856
05007,"Benton County, AR",49.0,797199,6.146520504917843
05031,"Craighead County, AR",10.0,321508,3.110342510917302
05033,"Crawford County, AR",16.0,188669,8.480460489004553
05051,"Garland County, AR",39.0,295289,13.20740020793189
05085,"Lonoke County, AR",11.0,218783,5.027812947075413
05119,"Pulaski County, AR",50.0,1179886,4.237697540270839
05125,"Saline County, AR",20.0,359447,5.564102635437213
05131,"Sebastian County, AR",22.0,383653,5.73434848678363
05143,"Washington County, AR",12.0,697006,1.721649454954477
06001,"Alameda County, CA",79.0,4977647,1.587095268105593
06007,"Butte County, CA",36.0,687414,5.237018739798724
06013,"Contra Costa County, CA",109.0,3432781,3.175268098955337
06017,"El Dorado County, CA",11.0,565290,1.945903872348706
06019,"Fresno County, CA",111.0,2963570,3.74548264424326
06023,"Humboldt County, CA",56.0,409773,13.66610293992039
06029,"Kern County, CA",129.0,2674671,4.823023093307551
06031,"Kings County, CA",12.0,451252,2.659267992164024
06033,"Lake County, CA",29.0,192744,15.04586394388412
06035,"Lassen County, CA",12.0,92835,12.92615931491356
